clients,orders,restaurants,deliverymen,cpu_jason,memory_jason,time_jason,cpu_jade,memory_jade,time_jade,cpu_astra,memory_astra,time_astra
1.0,1.0,1.0,25.0,17.6,7.3,3.0,2.1384615384615384,9.592307692307692,14.0,0.0,0.0,0.0
1.0,1.0,10.0,25.0,8.899999999999999,7.3,3.0,1.5076923076923079,9.623076923076923,14.0,0.0,0.0,0.0
1.0,1.0,25.0,25.0,3.9,7.4375,9.0,1.5538461538461539,9.684615384615384,14.0,0.0,0.0,0.0
1.0,1.0,50.0,25.0,10.3,7.45,3.0,1.7076923076923076,9.776923076923078,14.0,0.0,0.0,0.0
1.0,5.0,1.0,25.0,5.1,7.3500000000000005,7.0,1.5615384615384615,9.607692307692307,14.0,0.0,0.0,0.0
1.0,5.0,10.0,25.0,3.3545454545454545,7.445454545454546,12.0,1.5,9.676923076923076,14.0,0.0,0.0,0.0
1.0,5.0,25.0,25.0,4.666666666666667,7.45,7.0,1.7923076923076924,9.692307692307692,14.0,0.0,0.0,0.0
1.0,5.0,50.0,25.0,3.65,7.540000000000001,11.0,1.8153846153846156,9.792307692307693,14.0,0.0,0.0,0.0
1.0,10.0,1.0,25.0,2.9545454545454546,7.4363636363636365,12.0,1.6846153846153844,9.638461538461538,14.0,0.0,0.0,0.0
1.0,10.0,10.0,25.0,2.835714285714286,7.492857142857143,15.0,1.5692307692307692,9.692307692307692,14.0,0.0,0.0,0.0
1.0,10.0,25.0,25.0,2.6785714285714284,7.521428571428571,15.0,1.9153846153846152,9.792307692307693,14.0,0.0,0.0,0.0
1.0,10.0,50.0,25.0,3.141666666666667,7.583333333333333,13.0,1.9076923076923078,9.892307692307693,14.0,0.0,0.0,0.0
50.0,1.0,1.0,25.0,8.977777777777778,8.211111111111112,10.0,3.959090909090909,10.1,23.0,0.0,0.0,0.0
50.0,1.0,10.0,25.0,11.58,8.49,11.0,2.226086956521739,10.182608695652174,24.0,0.0,0.0,0.0
50.0,1.0,25.0,25.0,13.51,8.67,11.0,2.339130434782609,10.256521739130434,24.0,0.0,0.0,0.0
50.0,1.0,50.0,25.0,15.13,8.739999999999998,11.0,2.8130434782608695,10.6,24.0,0.0,0.0,0.0
50.0,5.0,1.0,25.0,14.02,9.03,11.0,1.9785714285714284,10.216666666666665,43.0,0.0,0.0,0.0
50.0,5.0,10.0,25.0,13.442857142857141,9.707142857142857,15.0,2.630952380952381,10.69047619047619,43.0,0.0,0.0,0.0
50.0,5.0,25.0,25.0,14.0375,9.85,17.0,3.1930232558139537,11.481395348837209,44.0,0.0,0.0,0.0
50.0,5.0,50.0,25.0,14.5625,9.99375,17.0,3.6697674418604653,12.299999999999999,44.0,0.0,0.0,0.0
50.0,10.0,1.0,25.0,12.83125,9.85,17.0,2.4250000000000003,10.819117647058825,69.0,0.0,0.0,0.0
50.0,10.0,10.0,25.0,18.157894736842106,9.805263157894737,20.0,2.7338235294117648,11.369117647058824,69.0,0.0,0.0,0.0
50.0,10.0,25.0,25.0,13.138095238095238,10.095238095238095,22.0,3.3308823529411766,13.036764705882353,69.0,0.0,0.0,0.0
50.0,10.0,50.0,25.0,17.421739130434784,10.2,24.0,4.485294117647059,14.910294117647059,69.0,0.0,0.0,0.0
100.0,1.0,1.0,25.0,13.266666666666667,8.81111111111111,10.0,2.7393939393939397,6.542424242424243,34.0,0.0,0.0,0.0
100.0,1.0,10.0,25.0,10.192307692307692,9.007692307692308,14.0,1.7636363636363634,6.612121212121211,34.0,0.0,0.0,0.0
100.0,1.0,25.0,25.0,13.169230769230769,9.36923076923077,14.0,2.257575757575758,7.351515151515152,34.0,0.0,0.0,0.0
100.0,1.0,50.0,25.0,14.876923076923077,10.007692307692308,14.0,2.5606060606060606,7.566666666666666,34.0,0.0,0.0,0.0
100.0,5.0,1.0,25.0,16.46923076923077,10.384615384615385,14.0,2.3520547945205483,10.650684931506849,74.0,0.0,0.0,0.0
100.0,5.0,10.0,25.0,18.98,11.78,16.0,2.002739726027397,10.997260273972602,74.0,0.0,0.0,0.0
100.0,5.0,25.0,25.0,18.022222222222222,12.3,19.0,2.4219178082191783,12.498630136986302,74.0,0.0,0.0,0.0
100.0,5.0,50.0,25.0,21.176470588235293,12.276470588235295,18.0,3.2424657534246575,15.35753424657534,74.0,0.0,0.0,0.0
100.0,10.0,1.0,25.0,18.25,12.305555555555555,19.0,1.917741935483871,11.096774193548388,125.0,0.0,0.0,0.0
100.0,10.0,10.0,25.0,16.929166666666667,12.7125,25.0,2.791129032258065,14.04516129032258,125.0,0.0,0.0,0.0
